Year,Department,Faculty,Sponsor,Title
2015-2016,Anthropology,Brenda Bradley,National Science Foundation - LOC,Collaborative Research: The evolution of hair and fur Proximate &amp; Ultimate factos shaping primate pelgage variation
2015-2016,Anthropology,Alexander Dent,National Science Foundation-LOC,Cellular Connections: Phone Trouble and its Repair among Teens in Washington DC
2015-2016,Anthropology,Laurence Dumouchel,Evolving Earth Foundation,The environments of the earliest Australopithecus
2015-2016,Anthropology,Laurence Domouchel,Leakey Foundation,"The environments of the earliest obligate biped, Australopithecus anamensis"
2015-2016,Anthropology,Roy Richard Grinker,California Academy of Science / National Science Foundation,"Integrating multidisciplinary tools to study Plio-Pleistocene paleoecology of early hominins from the Omo Valley, Ethiopia"
2015-2016,Anthropology,Roy Richard Grinker,The Wenner-Gren Foundation,Wadsworth International Fellowship: Enguye Negash
2015-2016,Anthropology,Ashley Hammond,The Wenner-Gren Foundation,The hominid pelvis: Testing alternative evolutionary hypotheses for the Pan-hominin LCA pelvis shape
2015-2016,Anthropology,Ashley Hammond,Leakey Foundation,Reconstructing phenotypic change of the pelvis in apes and humans
2015-2016,Anthropology,Shannon McFarlin,Nation Science Foundation-LOC,Physical ontogeny and life history of wild mountain and western gorillas
2015-2016,Anthropology,ShannonMcFarlin,The Nacey Maggioncalda Foundation,Weaning in mountain gorillas: A methodological test of barium distributions in enamel
2015-2016,Anthropology,Kathryn McGrath,Leakey Foundation,Understanding stress-related enamel defects in wild mountain gorillas
2015-2016,Anthropology,Kathryn Lee Ranhorn,Leakey Foundation,New Approaches to the Archaeology of Modern Human Origins
2015-2016,Anthropology,Chester Sherwood,HHS/National Institutes of Health-LOC,A National Chimpanzee Brain Resource
2015-2016,Anthropology,Sarah E. Wagner,The Wenner-Gren Foundation,The Gift of Death: Violent Conflict and the Obligations of Care
2015-2016,Anthropology,Kaitlin Rose Wellens,Leakey Foundation,Maternal effects on juvenile chimpanzee social behavior and physiological stress
2015-2016,Biological Sciences,Lizbeth Courtney Smith,National Science Foundation-LOC,Diversity of animal immunity and somatic DNA modifications in the sea urchin
2015-2016,Chemistry,Cynthia Dowd,Washington University,Targeting IspC to treat malaria
2015-2016,Chemistry,Peter Nemes,Arnold And Mabel Beckman Foundation,Development of a Single-neuron Protein Mass Analyzer: New Frontiers for Neuroscience
2015-2016,Chemistry,Akos Vertes,The Curators of the University of Missouri,Development and refinement of a 'molecular microscope' capability based on ultrahigh resolution mass spectrometry
2015-2016,Chemistry,Adelina M. Voutchkova,National Science Foundation-LOC,CAREER SuSCHeM: Tuning non-innocent catalytic supports of single-site heterogeneous catalysts for transfer hydrogenation from glycerol
2015-2016,Forensic Sciences,Daniele Podini,Bode Cellmark Forensics,Predictive Associations From Genomic Data: Facial Morphology and Age of the Donor
2015-2016,Forensic Sciences,Victor Weedn,Department of Justice,IPA - Mobility Assignment
2015-2016,Geography,Nuala Margaret Cowan,Texas Tech University,Mappers Without Borders
2015-2016,Geography,Michael L. Mann,International Food Policy Research Institute,CSI India: Enhancing farmers adaptive capacity by developing Climate-Smart Insurance for weather risk &amp; Innovative Insurance Products for the Rural Sector
2015-2016,Geography,Nikolay Shiklomanov,University of Northern Iowa,ASUS: Arctic Sustainability: A Synthesis of Knowledge
2015-2016,Geography,Dmitry Streletskiy,National Science Foundation-LOC,"ARCTIC climate change and its impact on Environment, infrastructures, and Resource Availability (Arctic-era) Change"
2015-2016,History,Charlene Bickford,National Parks of New York Harbor Conservancy,Documentary History of the First Federal Congress
2015-2016,History,Charlene Bickford,William Nelson Cromwell Foundation,First Federal Congress Project
2015-2016,History,Charlene Bickford,National Archive and Records Administration,First Federal Congress Project
2015-2016,History,Christopher Edward Brick,National Archives and Records Administration,Eleanor Roosevelt Paper 1516
2015-2016,History,Christopher Edward Brick,National Endowment for the Humanities,Eleanor Roosevelt Papers 2015-2018
2015-2016,History,Dane Keith Kennedy,Queen Mary University of London,Savage Warfare: A Cultural History of British and American Colonial Campaigns 1885-1914
2015-2016,Mathematics,Maria Pia Gualdani,National Science Foundation-LOC,CAREER: Nonlocal Partial Differential Equations  in Collisional Kinetic Theory
2015-2016,Mathematics,Jozef Przytycki,National Science Foundation-LOC,Knots in Washington : A Conference Series on Knot Theory and its Ramifications
2015-2016,Mathematics,Yongwu Rong,National Institute of Standards and Technology,SURF Gaithersburg
2015-2016,Mathematics,Zhao Yanxiang,Simons Foundation,A phase model on cell migration
2015-2016,Midge Smith Center For Evaluation Effectiveness in SPP &amp; PA,Ann Doucette,Department of Transportation,Countermeasures to Reduce Suicides on Railway Rights-of-Way
2015-2016,Museum Studies,Kym Rice,National Park Services,Preservation and Analysis of National Park Service Museum Collections-National Capital Region Museum
2015-2016,Physics,William Briscoe,Department of Energy,A Data Analysis Center for Hadronic and Electromagnetic Interactions
2015-2016,Physics,Evangeline Downie,National Science Foundation-LOC,Collaborative Research: Equipment for and Running of the PSI MUSE Experiment
2015-2016,Physics,Harald Griesshammer,Department of Energy,Effective Field Theories of Nuclear Physics
2015-2016,Physics,Alexander van der Horst,NASA Shared Services Center,Nustar Observations of the Magnetar SGR 1806-20
2015-2016,Physics,Oleg Kargaltsev,Space Telescope Science Institue,The intermediate-age cluster GLIMPSE-C01
2015-2016,Physics,Oleg Kargaltsev,NASA - Goddard - LOC,Detailed Study of PSR B0656+14
2015-2016,Physics,Chryssa Kouveliotou,Space Telescope Science Institute,HST NIR observations of the currently active magnetar SGR 1935+2154
2015-2016,Physics,George Younes,NASA/Goddard Sapce Flight Center,FERMI GBM VIEW OF THE MAGNETARS PERSISTENT HARD X-RAY EMISSION
2015-2016,Psychology,Kathleen Carrick,Gilead Sciences Incorporated,Gilead Patient Community Support Awards
2015-2016,Psychology,Stephen Mitroff,US Army Research Development &amp; Engineering Command,Examining learning and influences on performance in visual search
2015-2016,Psychology,Sarah Shomstein,National Science Foundation-LOC,Semantic guidance of attentional selection: determining how attentional allocation is structured in the face of uncertainty
2015-2016,Public Administration,Susan Dudley,Department of Agriculture,Comparative Evaluation of US and EU Regulatory Effects on Agriculture
2015-2016,Public Administration,Susan Dudley,Charles Koch Foundation,Support for Regulatory Studies Center
2015-2016,School of Media &amp; Public Affairs,Jason Osder,Cinereach LTD.,Cinereach Odeh Documentary 2016
2015-2016,Statistics,Efstathia Bura,Simons Foundation,Sufficient Dimension Reduction Methodology
2015-2016,Statistics,Feifang Hu,National Science Foundation-LOC,New Covariate-Adjusted Response-Adaptive Designs and Associated Methods for Statistical Inference
2015-2016,Statistics,Huixia Wang,King Abdullah University of Science and Technology,Statistical Process Monitoring and Risk Assessment for Engineering and Spatial Environmental Applications
2014-2015,Anthropology,David Braun,National Science Foundation,U.S.-Kenya IRES: Origins of Human Adaptability
2014-2015,Anthropology,Joel Kuipers,National Science Foundation - LOC,Doctoral Dissertation Research: Waste-to-Energy: On Toxicity and Historicity in South Baltimore City
2014-2015,Anthropology,Stephen Lubkemann,International Development Research Centre,American Anthropological Association Advisory Task Force on the Ebola Outbreak Emergency
2014-2015,Anthropology,Bernard Wood,National Science Foundation,Doctoral Dissertation Research: Modern Human Substitutions on NR2C1: A Possible Proximate Mechanism For Neural Proliferation in the Hominin Clade?
2014-2015,Biological Sciences,James Clark,National Science Foundation,DISSERTATION RESEARCH: Extinction and Diversification Dynamics of Archosauria Through Early Mesozoic Climate Crises
2014-2015,Biological Sciences,Gustavo Hormiga,National Science Foundation,Collaborative Research: Phylogeny and Diversification of the Orb Weaving Spiders (Araneae)
2014-2015,Biological Sciences,Guillermo Orti,National Science Foundation,Collaborative Research: The role of habitat transitions in parallel marine fish radiations
2014-2015,Biological Sciences,Scott Powell,National Science Foundation,Dimensions: Identifying how the ecological and evolutionary interactions between host and symbiont shape holobiont biodiversity
2014-2015,Biological Sciences,Robert Pyron,National Science Foundation,"Collaborative Research: Providing a global, complete model system:  The phylogenetic, trait, spatial and environmental characteristics of terrestrial vertebrates"
2014-2015,Chemistry,Stuart Licht,Office of Naval Research,STEP Generation of Sustainable Fuels and Feedstocks with carbon (C02 to CO) conversion using the full spectrum of sunlight
2014-2015,Chemistry,Stuart Licht,Office of Naval Research,Transforming the Navy's energy &amp; fuel chain: Generation of H2 from water at high rate &amp; low energy
2014-2015,Chemistry,Peter Nemes,"National Institutes of Health, National Institute of General Medical Sciences",In Situ Optoguided Microsampling Single-cell Mass Spectrometry for Elucidating Cell Heterogeneity
2014-2015,Chemistry,Peter Nemes,National Science Foundation,IDBR: TYPE A - In Situ Optoguided Microsampling Single-cell Mass Spectrometry for Elucidating Cell Heterogeneity in the Developing Embryo
2014-2015,Corcoran,Muriel Hasbun,"W. Eugene Smith Memorial Fund, Inc.","laberinto project, a collaborative arts and lens-based media, education and cultural legacy preservation project"
2014-2015,Forensic Sciences,Ira Lurie,"Department of Justice, National Institute of Justice",The Utility of Ultra High Performance Supercritical Fluid Chromatography for the Analysis of Seized Drugs: Application to Synthetic Cannabinoids and Bath Salts
2014-2015,Forensic Sciences,Mehdi Moini,National Science Foundation - LOC,Supplement: Biological Clocks: High Throughput Identification of Deterioration Markers and Dating of Museums' Proteinaceous Specimens
2014-2015,Forensic Sciences,Moses Schanfield,National Science Foundation,Planning Grant: I/UCRC for Center for Forensic Science
2014-2015,Geography,Timothy Heleniak,National Science Foundation,"Polar Peoples:  Past, Present, and Future"
2014-2015,GW Institute for Public Policy,Stephanie Cellini,Smith Richardson Foundation,Gainfully Employed? Assessing the Earnings and Debt of For-Profit College Students
2014-2015,GW Institute for Public Policy,Harold Wolman,Alliance for Innovation,Improving Local Government in the United States by Learning from Abroad
2014-2015,History,Charlene Bickford,National Archives and Records Administration,First Federal Congress Project
2014-2015,History,Charlene Bickford,The William Nelson Cromwell Foundation,First Federal Congress Project
2014-2015,History,Christopher Brick,The Gladys Kriebel Delmas Foundation,An Initiative to Digitize and Disseminate Significant Portions of Eleanor Roosevelt's Audio-Visual Legacy
2014-2015,Mathematics,Yongwu Rong,National Science Foundation,"EXTREEMS-QED: Mathematics and Statistics Training, Education &amp; Research (MASTER)"
2014-2015,Organizational Science &amp; Communication,David Costanza,Army Research Institute,Survival Analysis as a Technique for Improving Understanding of Leader Development and Officer and Enlisted Success
2014-2015,Philosophy,Jeffrey Charles,Xavier University of Louisiana,"BUILD Project ""PATHWAYS"
2014-2015,Physics,Andrei Afanasev,Center for Innovative Technology,Technical Feasibility and Potential Commercial Impact of High-Efficiency Solar Cells Enhanced with Quantum Dots
2014-2015,Physics,Andrei Afanasev,US Army Medical Research and Materiel Command,Laser-Driven Radiation Sources for Nuclear Applications
2014-2015,Physics,Evangeline Downie,National Science Foundation,Collaborative Research: Equipment for and Running of the PSI MUSE Experiment
2014-2015,Physics,Oleg Kargaltsev,Smithsonian Institution,Snap-shot Survey of Unidentified Fermi Sources
2014-2015,Physics,Oleg Kargaltsev,Smithsonian Institution,X-ray Counterparts of Puzzling Gev-Tev Sources
2014-2015,Physics,Oleg Kargaltsev,Space Telescope Science Institute,Thermal Evolution of Old Neutron Stars
2014-2015,Physics,Weigun Peng,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",Characterization of Regulated Intron Retention in T Cell Activation
2014-2015,Physics,Blagoy Rangelov,NASA - Goddard,Revealing Pulsars Hidden in the 2nd Fermi Catalogue
2014-2015,Physics,Ronald Workman,Trustees of Indiana University,Extensible Computational Services for Discovery of New Particles
2014-2015,Political Science,Alexander Downes,National Science Foundation,Do Costly Signals Matter?  How Costly Should They Be?:  A Survey Experiment on the Public's Attitude
2014-2015,Psychology,George Howe,University of Arizona,Examining Sleep and Social Rhythms as Mechanisms for Weight Gain After Job Loss
2014-2015,Psychology,Guangying Wu,Brain and Behavior Research Foundation,Synaptic Mechanisms Underlying Auditory Hallucination in 22q11.2DS Mouse Model with Schizophrenia Phenotypes
2014-2015,Public Administration,Susan Dudley,Charles Koch Foundation,Book Marketing Project: The Big Squeeze: How Frugal Innovation Will Transform Washington
2014-2015,School of Media &amp; Public Affairs,Nina Seavey,National Endowment for the Arts,"Healing Wars:  A documentary film exploring art, the artist, and the binding of the wounds of war"
2014-2015,SMPA,Emily Thorson,"American Press Institute, Newspaper Association of America",Using Contextual Fact-Checking to Inform Citizens and Minimize Perceptions
2014-2015,Speech &amp; Hearing,Lynne Bernstein,National Science Foundation,Collaborative Research: Good vibrations: Using Vibrotactile Speech and non-Speech Categories to Test the Brain's General Principles of Perceptual Learning
2014-2015,Speech &amp; Hearing,Gregory Wallace,HHS/NIH/NIDA,Cognitive Neuroscience of Autism Spectrum Disorders
2014-2015,Statistics,Hua Liang,National Science Foundation,Collaborative Research: Semi parametric ODE Models for Complex Gene Regulatory Networks
2014-2015,Statistics,Huixia Wang,National Science Foundation,Career:A new and pragmatic framework for modeling and predicting conditional quantiles in datasparse regions
2014-2015,University Writing Program,Nicole Lee,DC Commission for the Arts and Humanities,FY15 Grant Awardees - Artist Fellowship Program
2013-2014,Anthropology,Joel Kuipers,National Science Foundation,Patterns of Piety: A comparative study of Arabic language use in three communities in Java
2013-2014,Anthropology,Shannon McFarlin,The Leakey Foundation,Growth and life history of wild mountain and western gorillas: Rwanda and Congo
2013-2014,Anthropology,Shannon McFarlin,The Wenner-Gren Foundation,Postnatal ontogeny of wild gorillas: Towards a more comprehensive framework for interpreting fossil human life histories
2013-2014,Anthropology,Brian Richmond,National Science Foundation,Functional Anatomy of the Knee and Development-Implications for Interpreting Early Hominin Locomotion
2013-2014,Anthropology,Chester Sherwood,National Science Foundation,"Doctoral Dissertation Research:  The striatum in the evolution of flexible, learned vocal communication towards an understanding of the neurobiological precursors of speech"
2013-2014,Anthropology,Bernard Wood,The Wenner-Gren Foundation,NR2C1: a possible proximate mechanism for brain enlargement in the hominine clade
2013-2014,Biological Sciences,Catherine Forster,National Science Foundation,Dissertation Research: Phylogenetic Systematics and Biogeography of Iguanodontian Dinosaurs
2013-2014,Biological Sciences,Aleksandar Jeremic,"National Institutes of Health, National Institute of Diabetes and Digestive and Kidney Diseases",Molecular Mechanisms of Amylin Trafficking and Toxicity in Human Pancreatic Islet Cells
2013-2014,Biological Sciences,Guillermo Orti,National Science Foundation,Dissertation Research: The Evolution of Diapause in Aplocheiloid Killifishes (Cyprinodontiformes)
2013-2014,Chemistry,Stuart Licht,"Lynntech, Inc.",High Energy Density VB2/Air Batteries for Long Endurance UAVs
2013-2014,Chemistry,Stuart Licht,Office of Naval Research,STEP Generation of Sustainable Fuels and Feedstocks with carbon (C02 to CO) conversion using the full spectrum of sunlight
2013-2014,Chemistry,Adelina Voutchkova-Kostal,Yale University,Improving Material Safety through the Minimization of Oxidative Stress Potential:  A mechanistic understanding of ROS generation in in vitro and in vivo systems
2013-2014,Economics,Stephen Smith,"University of California, Davis",Scaling-up in Senegal &amp; Uganda
2013-2014,Forensic Sciences,Mehdi Moini,National Science Foundation,Biological Clocks:  High Throughput Identification of Deterioration Markers and Dating of Museums' Proteinaceous Specimens
2013-2014,Forensic Sciences,Victor Weedn,"PerkinElmer Health Sciences, Inc.",GW-PE Collaboration: Characterization of forensic specimens of interest by mass spectrometry
2013-2014,Geography,Elizabeth Chacko,National Science Foundation,Collaborative Research:  Effects of Check Dams on Landscape and Society - A Catalyzing Visit to the Eco-Sensitive Shiwalik Foot Hills of India
2013-2014,History,Charlene Bickford,National Endowment for the Humanities,First Federal Congress Project
2013-2014,History,Christopher Brick,National Historical Publications &amp; Records Commission,The Eleanor Roosevelt Papers Project
2013-2014,History,Dina Khoury,National Endowment for the Humanities,"Imaginings of Citizenship, Belonging and Differences in the Late Ottoman and Russian Empires"
2013-2014,Mathematics,Xiaofeng Ren,National Science Foundation,Multi-constituent inhibitory systems with self-organizing properties
2013-2014,Mathematics,Yongwu Rong,National Science Foundation,"EXTREEMS-QED: Mathematics and Statistics Training, Education &amp; Research (MASTER)"
2013-2014,Mathematics,Yongwu Rong,National Science Foundation,Joint Undergraduate Mathematics and Physics Scholarships (JUMP)
2013-2014,Mathematics,Alexander Shumakovitch,The Simons Foundation,Khovanov Homology Theories and their Applications
2013-2014,Midge Smith Center for Evaluation Effectiveness,Ann Doucette,"U.S. Department of Transportation, Federal Railroad Administration",Countermeasures to Reduce Suicides on Railway Rights-of-Way
2013-2014,Physics,Michael Doering,Jefferson Science Associates LLC,Personal Services Agreement
2013-2014,Physics,Evangeline Downie,National Science Foundation,Exploring the Nucleon with Electromagnetic Probes
2013-2014,Physics,Evangeline Downie,National Science Foundation,IRES - Experimental Nuclear Physics at the Mainz Microtron
2013-2014,Physics,Gerald Feldman,National Science Foundation,Collaborative Research: Investigating Success at Overcoming Challenges in Algebra-based Studio Physics
2013-2014,Physics,Oleg Kargaltsev,Smithsonian Astrophysical Observatory,Cheshire Cat's Grin
2013-2014,Physics,Ganhui Lan,Johns Hopkins University,Understanding the collective cell behaviors in crowded 2-dimensional space
2013-2014,Political Science,Paul Wahlbeck,National Science Foundation,Doctoral Dissertation Research:  Beyond Remedy:  Does Civil Legal Aid Matter for Democratic Governance?
2013-2014,Psychology,Tonya Dodge,World Anti-Doping Agency,The Effect of Negative Health Consequences Information on the Likelihood to use Anabolic Steroids:  An International Investigation
2013-2014,Psychology,Sharon Lambert,DePaul University,Social Ecology and the Prevention of Suicide and Aggression in African American Youth
2013-2014,Psychology,Sharon Lambert,American University,"Project:  Exploratory Investigation of the Social and Geographic Context of Sexual Risk Behavior, Identity Development and Service Use among Adolescent Black MSM in DC"
2013-2014,Psychology,Leigh Phillips,Pharmaceutical Research and Manufacturers of America Foundation,Developing a tool to improve providers' detection and 'diagnosis' of patients' non-adherence to Type II diabetes medications via a web-portal 'triage system'
2013-2014,Psychology,Lawrence Rothblatt,NeuroDetective International Inc.,Pharmacological Enhancement of Cognition in Mouse Models of Autism/Intellectual Disability
2013-2014,Public Administration,Susan Dudley,European Commission,Enhancing Transatlantic Regulatory Cooperation
2013-2014,School of Media &amp; Public Affairs,Jason Osder,The Sundance Institute,Who Killed Alex Odeh?
2013-2014,School of Media &amp; Public Affairs,Frank Sesno,United States Department of Agriculture,"Climate Change, Global Food Security, and the U.S. Food System"
2013-2014,Speech and Hearing,Francys Subiaul,Leakey Foundation,"Individual, Observational and Imitation Learning in Humans and Great Apes"
